hour,day_of_week,month,is_weekend,is_rush_hour,weather,temperature,precipitation,road_construction,accident,traffic_volume,speed,congestion_level,travel_time
0,6,1,1,0,Clear,25.0,0.0,1,0,336,66.5,0,9.0
1,6,1,1,0,Rain,35.2,0.08,0,0,214,56.1,0,10.7
2,6,1,1,0,Snow,14.2,0.1,1,0,201,52.4,0,11.4
3,6,1,1,0,Cloudy,0.9,0.0,0,0,175,54.4,0,11.0
4,6,1,1,0,Snow,9.9,0.17,0,0,268,38.0,1,15.8
5,6,1,1,0,Snow,-1.4,0.77,0,0,115,32.8,2,18.3
6,6,1,1,0,Clear,14.6,0.0,0,0,318,48.5,1,12.4
7,6,1,1,1,Cloudy,23.8,0.0,0,0,768,44.1,1,13.6
8,6,1,1,1,Snow,14.0,0.07,0,0,860,10.0,3,60.0
9,6,1,1,1,Clear,19.9,0.0,0,0,670,50.9,0,11.8
10,6,1,1,0,Snow,7.3,0.37,0,0,292,25.7,2,23.3
11,6,1,1,0,Fog,22.0,0.0,0,0,263,54.7,0,11.0
12,6,1,1,0,Cloudy,18.8,0.0,0,0,323,45.2,1,13.3
13,6,1,1,0,Rain,12.8,0.88,0,0,100,38.2,1,15.7
14,6,1,1,0,Rain,8.7,0.81,0,0,152,45.2,1,13.3
15,6,1,1,0,Clear,26.1,0.0,0,0,436,69.3,0,8.7
16,6,1,1,0,Rain,11.6,0.99,0,0,112,36.9,1,16.3
17,6,1,1,1,Snow,31.0,0.03,0,0,760,17.0,3,35.2
18,6,1,1,1,Cloudy,28.1,0.0,0,0,838,11.3,3,53.2
19,6,1,1,1,Rain,30.0,0.06,0,0,832,32.0,2,18.8
20,6,1,1,0,Rain,35.0,0.34,0,0,302,22.8,2,26.3
21,6,1,1,0,Cloudy,28.2,0.0,0,0,263,57.0,0,10.5
22,6,1,1,0,Clear,20.9,0.0,0,0,164,57.8,0,10.4
23,6,1,1,0,Fog,23.6,0.0,0,0,399,36.8,1,16.3
0,0,1,0,0,Rain,11.9,1.33,0,0,333,56.0,0,10.7
1,0,1,0,0,Cloudy,31.6,0.0,0,0,513,63.1,0,9.5
2,0,1,0,0,Clear,33.7,0.0,0,0,509,56.9,0,10.5
3,0,1,0,0,Cloudy,26.7,0.0,0,0,487,56.3,0,10.7
4,0,1,0,0,Rain,32.7,0.99,0,0,368,55.1,0,10.9
5,0,1,0,0,Cloudy,17.7,0.0,0,1,237,26.8,2,22.4
6,0,1,0,0,Rain,16.6,1.43,0,0,400,56.1,0,10.7
7,0,1,0,1,Snow,-0.2,0.61,0,0,937,10.0,3,60.0
8,0,1,0,1,Cloudy,0.8,0.0,0,0,1109,16.6,3,36.1
9,0,1,0,1,Cloudy,44.6,0.0,0,0,1155,17.0,3,35.3
10,0,1,0,0,Fog,19.7,0.0,0,0,442,63.4,0,9.5
11,0,1,0,0,Rain,27.5,0.14,0,0,335,60.8,0,9.9
12,0,1,0,0,Rain,34.1,0.38,0,1,169,18.1,3,33.2
13,0,1,0,0,Clear,14.3,0.0,0,0,505,55.0,0,10.9
14,0,1,0,0,Clear,4.5,0.0,0,0,503,49.4,1,12.2
15,0,1,0,0,Snow,24.7,0.59,0,0,408,33.4,2,18.0
16,0,1,0,0,Rain,16.1,0.06,0,0,382,62.1,0,9.7
17,0,1,0,1,Clear,7.7,0.0,0,0,1021,33.1,2,18.1
18,0,1,0,1,Clear,3.9,0.0,0,0,864,24.6,2,24.4
19,0,1,0,1,Rain,27.8,0.21,0,0,873,10.0,3,60.0
20,0,1,0,0,Snow,26.2,0.04,0,0,499,51.9,0,11.6
21,0,1,0,0,Cloudy,12.9,0.0,0,0,593,64.7,0,9.3
22,0,1,0,0,Rain,8.1,0.62,0,0,456,41.5,1,14.5
23,0,1,0,0,Clear,8.7,0.0,0,1,339,44.7,1,13.4
0,1,1,0,0,Snow,24.2,0.42,0,0,404,32.5,2,18.4
1,1,1,0,0,Rain,12.5,0.15,0,0,487,43.6,1,13.8
2,1,1,0,0,Cloudy,32.1,0.0,0,0,527,87.3,0,6.9
3,1,1,0,0,Clear,20.9,0.0,0,0,430,59.7,0,10.1
4,1,1,0,0,Cloudy,10.4,0.0,0,0,549,60.4,0,9.9
5,1,1,0,0,Clear,18.6,0.0,0,0,494,67.4,0,8.9
6,1,1,0,0,Clear,15.5,0.0,0,0,539,70.5,0,8.5
7,1,1,0,1,Clear,16.6,0.0,0,0,1050,10.0,3,60.0
8,1,1,0,1,Cloudy,27.1,0.0,0,0,1094,15.3,3,39.2
9,1,1,0,1,Fog,37.6,0.0,0,0,934,10.0,3,60.0
10,1,1,0,0,Fog,30.6,0.0,0,0,503,61.7,0,9.7
11,1,1,0,0,Clear,30.7,0.0,0,0,452,73.8,0,8.1
12,1,1,0,0,Clear,29.1,0.0,0,0,470,63.0,0,9.5
13,1,1,0,0,Fog,22.6,0.0,0,0,501,61.7,0,9.7
14,1,1,0,0,Rain,34.4,0.52,0,0,381,60.5,0,9.9
15,1,1,0,0,Cloudy,26.5,0.0,0,0,484,67.6,0,8.9
16,1,1,0,0,Cloudy,12.3,0.0,1,0,488,55.1,0,10.9
17,1,1,0,1,Fog,20.8,0.0,0,0,984,10.0,3,60.0
18,1,1,0,1,Cloudy,26.9,0.0,0,0,826,14.3,3,42.0
19,1,1,0,1,Fog,30.9,0.0,0,0,829,10.0,3,60.0
20,1,1,0,0,Fog,12.8,0.0,1,0,534,43.7,1,13.7
21,1,1,0,0,Fog,22.2,0.0,0,0,502,35.5,1,16.9
22,1,1,0,0,Cloudy,41.4,0.0,1,0,532,39.7,1,15.1
23,1,1,0,0,Rain,21.9,0.79,0,0,354,30.3,2,19.8
0,2,1,0,0,Rain,12.3,0.1,0,0,487,50.3,0,11.9
1,2,1,0,0,Fog,13.5,0.0,0,0,588,56.0,0,10.7
2,2,1,0,0,Fog,7.4,0.0,0,0,546,63.2,0,9.5
3,2,1,0,0,Cloudy,30.3,0.0,0,0,424,55.2,0,10.9
4,2,1,0,0,Rain,32.7,0.01,0,0,393,46.6,1,12.9
5,2,1,0,0,Clear,38.7,0.0,0,0,499,50.7,0,11.8
6,2,1,0,0,Snow,7.1,0.28,0,0,414,58.3,0,10.3
7,2,1,0,1,Rain,5.7,0.5,0,0,703,30.3,2,19.8
8,2,1,0,1,Snow,20.6,0.97,0,0,955,10.0,3,60.0
9,2,1,0,1,Fog,24.6,0.0,0,0,1205,10.0,3,60.0
10,2,1,0,0,Cloudy,20.7,0.0,0,0,481,61.1,0,9.8
11,2,1,0,0,Fog,26.6,0.0,0,0,579,34.6,2,17.3
12,2,1,0,0,Clear,41.3,0.0,0,0,402,58.5,0,10.3
13,2,1,0,0,Fog,25.9,0.0,0,0,514,45.8,1,13.1
14,2,1,0,0,Snow,17.9,0.93,0,0,420,30.8,2,19.5
15,2,1,0,0,Clear,16.4,0.0,0,0,548,74.5,0,8.1
16,2,1,0,0,Rain,23.6,0.81,0,0,394,41.7,1,14.4
17,2,1,0,1,Cloudy,14.4,0.0,0,0,1205,16.1,3,37.3
18,2,1,0,1,Fog,19.8,0.0,0,0,1162,12.8,3,47.0
19,2,1,0,1,Rain,14.1,0.21,0,0,1079,10.0,3,60.0
20,2,1,0,0,Fog,15.9,0.0,0,0,513,46.1,1,13.0
21,2,1,0,0,Fog,29.3,0.0,0,0,474,54.5,0,11.0
22,2,1,0,0,Snow,17.6,0.01,0,0,428,38.2,1,15.7
23,2,1,0,0,Rain,18.7,1.5,0,0,462,55.7,0,10.8
0,3,1,0,0,Cloudy,2.1,0.0,0,0,478,72.0,0,8.3
1,3,1,0,0,Rain,8.0,0.7,0,0,456,59.3,0,10.1
2,3,1,0,0,Clear,19.9,0.0,1,0,455,60.8,0,9.9
3,3,1,0,0,Cloudy,13.2,0.0,0,0,549,58.5,0,10.3
4,3,1,0,0,Snow,11.7,0.08,0,0,343,44.1,1,13.6
5,3,1,0,0,Snow,33.6,0.05,0,0,374,44.9,1,13.4
6,3,1,0,0,Clear,15.3,0.0,0,0,512,45.5,1,13.2
7,3,1,0,1,Cloudy,5.9,0.0,0,0,826,14.9,3,40.4
8,3,1,0,1,Snow,23.1,0.28,0,0,1088,10.0,3,60.0
9,3,1,0,1,Cloudy,20.0,0.0,0,0,1009,12.5,3,47.9
10,3,1,0,0,Rain,32.7,0.44,0,0,390,45.9,1,13.1
11,3,1,0,0,Snow,24.0,0.17,0,0,424,45.6,1,13.2
12,3,1,0,0,Rain,20.7,2.48,0,0,430,55.0,0,10.9
13,3,1,0,0,Rain,12.3,1.74,0,0,545,56.1,0,10.7
14,3,1,0,0,Clear,15.7,0.0,0,0,593,72.0,0,8.3
15,3,1,0,0,Snow,38.2,1.16,0,0,506,29.9,2,20.1
16,3,1,0,0,Cloudy,11.6,0.0,0,1,175,10.0,3,60.0
17,3,1,0,1,Snow,14.7,0.44,0,0,710,18.6,3,32.2
18,3,1,0,1,Cloudy,25.7,0.0,0,0,1157,20.4,2,29.4
19,3,1,0,1,Rain,34.8,0.27,0,0,965,10.0,3,60.0
20,3,1,0,0,Rain,2.9,1.75,0,0,468,48.8,1,12.3
21,3,1,0,0,Cloudy,22.8,0.0,0,0,377,51.0,0,11.8
22,3,1,0,0,Snow,18.9,1.0,0,0,441,42.1,1,14.3
23,3,1,0,0,Snow,20.5,0.73,0,0,391,22.0,2,27.3
0,4,1,0,0,Fog,6.3,0.0,0,0,527,57.6,0,10.4
1,4,1,0,0,Clear,35.4,0.0,0,0,459,57.0,0,10.5
2,4,1,0,0,Clear,22.4,0.0,0,0,602,61.1,0,9.8
3,4,1,0,0,Clear,35.5,0.0,0,0,508,71.5,0,8.4
4,4,1,0,0,Clear,30.3,0.0,0,0,508,49.8,1,12.0
5,4,1,0,0,Clear,17.3,0.0,0,0,574,68.8,0,8.7
6,4,1,0,0,Snow,15.7,0.01,0,0,406,46.6,1,12.9
7,4,1,0,1,Fog,2.4,0.0,0,0,1051,10.0,3,60.0
8,4,1,0,1,Clear,17.3,0.0,0,0,1130,26.0,2,23.1
9,4,1,0,1,Rain,20.7,0.25,0,0,1089,11.3,3,53.1
10,4,1,0,0,Cloudy,19.9,0.0,0,0,540,57.2,0,10.5
11,4,1,0,0,Cloudy,3.4,0.0,0,0,500,64.0,0,9.4
12,4,1,0,0,Snow,31.2,0.14,0,0,296,43.7,1,13.7
13,4,1,0,0,Clear,10.6,0.0,0,0,474,49.4,1,12.1
14,4,1,0,0,Clear,19.4,0.0,0,0,548,50.1,0,12.0
15,4,1,0,0,Snow,25.0,0.11,0,0,316,36.4,1,16.5
16,4,1,0,0,Cloudy,5.7,0.0,0,0,490,60.6,0,9.9
17,4,1,0,1,Snow,-2.8,0.59,0,0,984,10.0,3,60.0
18,4,1,0,1,Fog,18.9,0.0,0,0,1026,10.0,3,60.0
19,4,1,0,1,Fog,27.6,0.0,1,0,866,10.0,3,60.0
20,4,1,0,0,Fog,17.2,0.0,0,0,385,31.8,2,18.8
21,4,1,0,0,Cloudy,33.7,0.0,1,0,582,57.5,0,10.4
22,4,1,0,0,Clear,25.8,0.0,0,0,516,90.8,0,6.6
23,4,1,0,0,Cloudy,31.2,0.0,0,0,494,50.4,0,11.9
0,5,1,1,0,Snow,3.9,0.16,0,1,100,12.1,3,49.5
1,5,1,1,0,Cloudy,19.5,0.0,0,0,259,53.5,0,11.2
2,5,1,1,0,Snow,12.3,1.11,0,0,153,52.9,0,11.3
3,5,1,1,0,Fog,28.8,0.0,0,0,216,63.8,0,9.4
4,5,1,1,0,Fog,20.8,0.0,0,0,162,65.2,0,9.2
5,5,1,1,0,Rain,25.4,0.28,0,0,100,40.3,1,14.9
6,5,1,1,0,Cloudy,34.0,0.0,0,0,286,40.9,1,14.7
7,5,1,1,1,Fog,29.4,0.0,0,0,527,25.3,2,23.7
8,5,1,1,1,Fog,16.4,0.0,1,0,659,21.4,2,28.0
9,5,1,1,1,Clear,13.7,0.0,0,0,799,31.9,2,18.8
10,5,1,1,0,Fog,11.7,0.0,0,0,251,27.0,2,22.2
11,5,1,1,0,Clear,26.8,0.0,0,0,259,59.2,0,10.1
12,5,1,1,0,Clear,22.4,0.0,0,0,337,52.8,0,11.4
13,5,1,1,0,Clear,14.7,0.0,0,0,231,62.1,0,9.7
14,5,1,1,0,Snow,40.4,0.16,0,0,275,31.4,2,19.1
15,5,1,1,0,Snow,25.7,0.2,0,0,160,13.6,3,44.1
16,5,1,1,0,Cloudy,15.4,0.0,0,0,196,44.8,1,13.4
17,5,1,1,1,Clear,28.0,0.0,0,0,684,50.7,0,11.8
18,5,1,1,1,Rain,47.8,0.03,0,0,597,13.4,3,44.8
19,5,1,1,1,Snow,16.2,0.03,0,0,820,10.0,3,60.0
20,5,1,1,0,Fog,31.1,0.0,0,0,270,41.8,1,14.4
21,5,1,1,0,Snow,44.3,0.27,0,0,307,44.0,1,13.6
22,5,1,1,0,Clear,23.7,0.0,0,0,218,60.9,0,9.9
23,5,1,1,0,Cloudy,18.4,0.0,0,0,339,62.5,0,9.6
0,6,1,1,0,Fog,23.4,0.0,0,0,251,35.1,1,17.1
1,6,1,1,0,Snow,15.7,0.09,0,0,173,50.3,0,11.9
2,6,1,1,0,Cloudy,-2.1,0.0,0,0,246,57.3,0,10.5
3,6,1,1,0,Cloudy,29.5,0.0,0,0,192,73.0,0,8.2
4,6,1,1,0,Fog,13.2,0.0,0,0,244,50.5,0,11.9
5,6,1,1,0,Cloudy,11.6,0.0,0,0,275,60.2,0,10.0
6,6,1,1,0,Cloudy,17.6,0.0,0,0,418,68.9,0,8.7
7,6,1,1,1,Snow,21.0,0.49,0,0,873,10.0,3,60.0
8,6,1,1,1,Fog,23.4,0.0,0,0,928,19.3,3,31.0
9,6,1,1,1,Fog,42.7,0.0,0,0,1001,10.0,3,60.0
10,6,1,1,0,Snow,15.4,0.14,0,0,100,50.1,0,12.0
11,6,1,1,0,Snow,24.0,1.05,0,0,246,35.9,1,16.7
12,6,1,1,0,Snow,17.3,0.8,0,0,214,38.7,1,15.5
13,6,1,1,0,Rain,14.5,0.64,0,1,121,33.6,2,17.9
14,6,1,1,0,Clear,24.1,0.0,0,0,311,52.3,0,11.5
15,6,1,1,0,Fog,7.6,0.0,0,0,188,55.0,0,10.9
16,6,1,1,0,Rain,26.5,0.08,0,0,223,48.8,1,12.3
17,6,1,1,1,Rain,46.4,0.47,0,0,680,32.3,2,18.6
18,6,1,1,1,Clear,24.8,0.0,0,0,863,10.0,3,60.0
19,6,1,1,1,Snow,24.7,0.43,0,0,601,32.9,2,18.3
20,6,1,1,0,Fog,21.8,0.0,0,0,344,42.1,1,14.3
21,6,1,1,0,Rain,27.8,0.06,0,0,177,58.9,0,10.2
22,6,1,1,0,Snow,3.1,0.03,0,0,241,45.7,1,13.1
23,6,1,1,0,Clear,14.2,0.0,0,0,359,36.8,1,16.3
0,0,1,0,0,Clear,17.7,0.0,0,0,531,72.7,0,8.3
1,0,1,0,0,Cloudy,11.8,0.0,0,1,289,24.4,2,24.6
2,0,1,0,0,Rain,8.7,0.1,0,0,410,23.0,2,26.1
3,0,1,0,0,Cloudy,19.5,0.0,0,0,488,67.0,0,9.0
4,0,1,0,0,Fog,38.5,0.0,0,0,556,40.3,1,14.9
5,0,1,0,0,Fog,8.9,0.0,0,0,629,40.6,1,14.8
6,0,1,0,0,Cloudy,20.1,0.0,1,0,499,62.0,0,9.7
7,0,1,0,1,Fog,18.6,0.0,0,0,993,10.0,3,60.0
8,0,1,0,1,Snow,19.7,0.42,0,0,732,42.9,1,14.0
9,0,1,0,1,Fog,-6.6,0.0,0,0,821,10.0,3,60.0
10,0,1,0,0,Rain,8.2,0.1,0,0,412,31.9,2,18.8
11,0,1,0,0,Rain,12.2,0.52,0,0,403,47.3,1,12.7
12,0,1,0,0,Fog,24.9,0.0,0,0,461,40.1,1,15.0
13,0,1,0,0,Fog,20.3,0.0,0,0,465,33.7,2,17.8
14,0,1,0,0,Fog,21.0,0.0,0,0,493,47.0,1,12.8
15,0,1,0,0,Fog,9.5,0.0,0,0,482,40.7,1,14.7
16,0,1,0,0,Snow,28.1,0.97,0,0,358,37.4,1,16.0
17,0,1,0,1,Fog,31.6,0.0,1,0,948,27.2,2,22.1
18,0,1,0,1,Cloudy,25.9,0.0,0,0,931,12.3,3,48.9
19,0,1,0,1,Fog,7.5,0.0,0,0,974,10.0,3,60.0
20,0,1,0,0,Clear,14.8,0.0,0,0,552,53.0,0,11.3
21,0,1,0,0,Cloudy,5.9,0.0,0,0,422,66.1,0,9.1
22,0,1,0,0,Fog,7.2,0.0,0,0,588,28.2,2,21.3
23,0,1,0,0,Rain,37.0,0.17,0,0,453,46.7,1,12.9
0,1,1,0,0,Cloudy,16.6,0.0,0,0,567,81.6,0,7.4
1,1,1,0,0,Fog,26.7,0.0,0,0,469,41.8,1,14.3
2,1,1,0,0,Fog,7.1,0.0,0,0,505,36.7,1,16.3
3,1,1,0,0,Rain,25.5,0.4,0,0,415,49.7,1,12.1
4,1,1,0,0,Snow,22.6,0.46,0,0,453,38.0,1,15.8
5,1,1,0,0,Snow,25.1,1.23,1,0,300,26.2,2,22.9
6,1,1,0,0,Fog,13.8,0.0,0,0,501,49.2,1,12.2
7,1,1,0,1,Clear,12.7,0.0,0,0,1126,10.0,3,60.0
8,1,1,0,1,Cloudy,13.9,0.0,0,0,967,10.0,3,60.0
9,1,1,0,1,Snow,6.5,0.63,0,0,760,10.0,3,60.0
10,1,1,0,0,Clear,40.8,0.0,0,0,485,61.0,0,9.8
11,1,1,0,0,Snow,21.8,0.12,0,0,326,38.2,1,15.7
12,1,1,0,0,Cloudy,45.6,0.0,0,0,495,71.5,0,8.4
13,1,1,0,0,Snow,13.0,0.06,0,0,381,33.7,2,17.8
14,1,1,0,0,Fog,39.8,0.0,1,0,498,25.4,2,23.6
15,1,1,0,0,Snow,16.0,0.85,0,0,470,48.7,1,12.3
16,1,1,0,0,Cloudy,26.2,0.0,0,0,421,52.7,0,11.4
17,1,1,0,1,Clear,17.5,0.0,0,0,858,25.2,2,23.8
18,1,1,0,1,Rain,21.8,1.03,0,0,687,40.2,1,14.9
19,1,1,0,1,Rain,26.2,0.54,0,0,1113,10.0,3,60.0
20,1,1,0,0,Rain,19.3,0.13,0,0,291,63.2,0,9.5
21,1,1,0,0,Fog,21.3,0.0,0,0,522,48.9,1,12.3
22,1,1,0,0,Cloudy,31.3,0.0,0,0,496,55.3,0,10.8
23,1,1,0,0,Clear,28.9,0.0,0,0,430,65.0,0,9.2
0,2,1,0,0,Rain,9.6,0.65,0,1,368,18.1,3,33.1
1,2,1,0,0,Cloudy,15.6,0.0,0,0,572,62.0,0,9.7
2,2,1,0,0,Snow,30.3,1.09,0,0,363,22.5,2,26.7
3,2,1,0,0,Cloudy,25.9,0.0,0,0,536,60.5,0,9.9
4,2,1,0,0,Cloudy,32.2,0.0,0,0,466,54.9,0,10.9
5,2,1,0,0,Clear,-4.8,0.0,0,0,546,63.1,0,9.5
6,2,1,0,0,Snow,3.2,0.67,0,0,271,31.8,2,18.9
7,2,1,0,1,Clear,17.2,0.0,0,0,808,19.8,3,30.3
8,2,1,0,1,Fog,10.0,0.0,0,0,1126,10.0,3,60.0
9,2,1,0,1,Snow,22.3,0.24,0,0,1041,10.0,3,60.0
10,2,1,0,0,Snow,18.3,1.06,0,0,366,35.5,1,16.9
11,2,1,0,0,Snow,26.7,0.48,0,0,454,56.2,0,10.7
12,2,1,0,0,Fog,4.3,0.0,0,0,504,34.8,2,17.2
13,2,1,0,0,Clear,14.0,0.0,0,0,528,53.8,0,11.2
14,2,1,0,0,Snow,15.0,1.74,0,0,426,63.2,0,9.5
15,2,1,0,0,Cloudy,14.3,0.0,0,0,458,64.7,0,9.3
16,2,1,0,0,Clear,14.5,0.0,0,0,532,62.0,0,9.7
17,2,1,0,1,Snow,4.8,0.45,0,0,779,21.6,2,27.7
18,2,1,0,1,Clear,16.4,0.0,0,0,1165,18.4,3,32.5
19,2,1,0,1,Clear,30.8,0.0,0,0,815,10.0,3,59.7
20,2,1,0,0,Rain,2.5,0.15,0,0,289,45.7,1,13.1
21,2,1,0,0,Cloudy,37.9,0.0,0,0,474,62.2,0,9.6
22,2,1,0,0,Cloudy,19.8,0.0,0,0,559,85.3,0,7.0
23,2,1,0,0,Fog,14.7,0.0,1,0,476,56.4,0,10.6
0,3,1,0,0,Fog,26.8,0.0,0,0,592,56.8,0,10.6
1,3,1,0,0,Cloudy,16.4,0.0,0,0,530,71.1,0,8.4
2,3,1,0,0,Clear,28.2,0.0,0,0,525,70.7,0,8.5
3,3,1,0,0,Snow,31.7,0.48,0,0,371,45.8,1,13.1
4,3,1,0,0,Fog,16.3,0.0,0,0,458,46.1,1,13.0
5,3,1,0,0,Clear,24.9,0.0,0,0,521,64.0,0,9.4
6,3,1,0,0,Clear,17.7,0.0,0,0,500,68.2,0,8.8
7,3,1,0,1,Snow,5.1,1.99,0,0,794,28.5,2,21.1
8,3,1,0,1,Fog,26.5,0.0,0,0,1255,10.0,3,60.0
9,3,1,0,1,Clear,22.2,0.0,0,0,840,44.8,1,13.4
10,3,1,0,0,Fog,19.0,0.0,0,0,514,53.1,0,11.3
11,3,1,0,0,Fog,21.9,0.0,0,1,187,18.9,3,31.7
12,3,1,0,0,Rain,30.7,0.03,0,0,335,28.9,2,20.8
13,3,1,0,0,Fog,29.7,0.0,0,0,476,55.3,0,10.9
14,3,1,0,0,Snow,23.7,0.01,1,0,384,52.7,0,11.4
15,3,1,0,0,Cloudy,19.3,0.0,0,0,472,78.8,0,7.6
16,3,1,0,0,Fog,5.5,0.0,0,0,390,49.4,1,12.1
17,3,1,0,1,Rain,15.0,0.59,0,0,1113,27.1,2,22.1
18,3,1,0,1,Rain,17.8,1.44,0,0,683,49.5,1,12.1
19,3,1,0,1,Rain,9.3,0.25,0,0,975,10.0,3,60.0
20,3,1,0,0,Rain,12.9,0.02,0,0,324,32.5,2,18.5
21,3,1,0,0,Rain,34.4,1.0,0,0,450,52.7,0,11.4
22,3,1,0,0,Cloudy,22.7,0.0,0,0,488,67.1,0,8.9
23,3,1,0,0,Clear,27.2,0.0,0,0,523,66.1,0,9.1
0,4,1,0,0,Snow,10.6,0.02,0,0,392,38.0,1,15.8
1,4,1,0,0,Cloudy,27.1,0.0,0,0,496,74.4,0,8.1
2,4,1,0,0,Fog,13.2,0.0,0,0,590,50.6,0,11.9
3,4,1,0,0,Snow,5.7,0.03,0,0,332,47.6,1,12.6
4,4,1,0,0,Cloudy,13.7,0.0,0,0,550,57.2,0,10.5
5,4,1,0,0,Fog,19.7,0.0,0,0,491,37.1,1,16.2
6,4,1,0,0,Fog,44.7,0.0,0,0,475,63.2,0,9.5
7,4,1,0,1,Cloudy,9.1,0.0,0,0,1116,21.8,2,27.5
8,4,1,0,1,Snow,19.8,0.06,0,0,776,10.0,3,60.0
9,4,1,0,1,Cloudy,8.4,0.0,0,0,927,31.8,2,18.9
10,4,1,0,0,Cloudy,17.8,0.0,0,0,501,62.1,0,9.7
11,4,1,0,0,Snow,-0.4,0.05,0,0,359,44.1,1,13.6
12,4,1,0,0,Fog,18.2,0.0,0,0,463,44.0,1,13.7
13,4,1,0,0,Fog,9.4,0.0,0,0,549,51.2,0,11.7
14,4,1,0,0,Clear,15.1,0.0,0,0,478,62.8,0,9.6
15,4,1,0,0,Snow,12.0,0.61,0,0,369,39.5,1,15.2
16,4,1,0,0,Fog,27.0,0.0,0,0,520,53.0,0,11.3
17,4,1,0,1,Fog,26.4,0.0,0,0,1052,10.0,3,60.0
18,4,1,0,1,Fog,33.2,0.0,0,0,978,28.8,2,20.9
19,4,1,0,1,Snow,13.1,0.37,0,1,713,10.0,3,60.0
20,4,1,0,0,Rain,9.7,0.78,0,0,387,53.8,0,11.2
21,4,1,0,0,Cloudy,41.4,0.0,0,0,586,64.4,0,9.3
22,4,1,0,0,Cloudy,20.4,0.0,1,0,506,66.1,0,9.1
23,4,1,0,0,Cloudy,9.8,0.0,0,0,487,43.3,1,13.9
0,5,1,1,0,Rain,24.0,0.68,0,0,202,29.4,2,20.4
